time,Open,High,Low,Close,Volume,EMA9,EMA21,EMA50,EMA200,MACD,MACD_signal,MACD_hist,RSI14,Stoch_K,Stoch_D,BB_upper,BB_mid,BB_lower,BB_width,ATR14,OBV,body,upper_wick,lower_wick,is_bull,trend_ema
2026-02-19 05:00:00+00:00,4984.195,4998.409,4984.195,4997.082,4657,,,,,,,,,,,,,,,0.0,4657,12.887000000000626,1.326999999999316,0.0,1,0
2026-02-19 06:00:00+00:00,4996.833,5020.125,4996.718,5018.298,5646,,,,,,,,,,,,,,,0.0,10303,21.465000000000146,1.8270000000002256,0.11499999999978172,1,0
2026-02-19 07:00:00+00:00,5018.376,5021.945,5008.776,5010.381,5880,,,,,,,,,,,,,,,0.0,4423,7.994999999999891,3.5689999999995052,1.605000000000473,0,0
2026-02-19 08:00:00+00:00,5010.308,5022.086,5006.1,5016.974,6450,,,,,,,,,,,,,,,0.0,10873,6.666000000000167,5.11200000000008,4.207999999999629,1,0
2026-02-19 09:00:00+00:00,5016.989,5020.358,4992.879,4995.832,7686,,,,,,,,,,,,,,,0.0,3187,21.156999999999243,3.3690000000005966,2.9530000000004293,0,0
2026-02-19 10:00:00+00:00,4995.758,4996.214,4981.6,4993.411,8083,,,,,,,,,,,,,,,0.0,18446744073709546720,2.3469999999997526,0.45600000000013097,11.810999999999694,0,0
2026-02-19 11:00:00+00:00,4993.111,4996.351,4977.969,4984.714,7522,,,,,,,,,,,,,,,0.0,18446744073709539198,8.396999999999935,3.2399999999997817,6.744999999999891,0,0
2026-02-19 12:00:00+00:00,4984.638,4992.81,4980.547,4984.703,6850,,,,,,,,,,,,,,,0.0,18446744073709532348,0.06500000000050932,8.106999999999971,4.091000000000349,1,0
2026-02-19 13:00:00+00:00,4984.786,4998.466,4971.705,4997.145,9953,4995.943301859841,,,,,,,,,,,,,,0.0,18446744073709542301,12.359000000000378,1.3209999999999127,13.081000000000131,1,0
2026-02-19 14:00:00+00:00,4997.161,5010.31,4963.25,5005.607,19272,4997.8760414878725,,,,,,,,,,,,,,0.0,9957,8.445999999999913,4.703000000000429,33.91100000000006,1,0
2026-02-19 15:00:00+00:00,5005.682,5022.38,4995.94,5013.714,19643,5001.043633190298,,,,,,,,,,,,,,0.0,29600,8.032000000000153,8.666000000000167,9.74200000000019,1,0
2026-02-19 16:00:00+00:00,5013.798,5014.444,4990.109,4995.378,12897,4999.910506552239,,,,,,,,,,,,,,0.0,16703,18.420000000000073,0.6460000000006403,5.268999999999323,0,0
2026-02-19 17:00:00+00:00,4995.193,5001.653,4982.68,4984.944,9737,4996.917205241792,,,,,,,,,,,,,,0.0,6966,10.248999999999796,6.460000000000036,2.2640000000001237,0,0
2026-02-19 18:00:00+00:00,4985.022,4989.322,4975.081,4981.827,9083,4993.8991641934335,,,,,,,40.171905093413,31.417216303061377,,,,,,21.237428571428673,18446744073709549499,3.194999999999709,4.300000000000182,6.746000000000095,0,0
2026-02-19 19:00:00+00:00,4981.902,4990.445,4978.219,4987.838,6625,4992.686931354747,,,,,,,44.51377528126606,41.58295281582901,,,,,,20.593755102040888,4508,5.935999999999694,2.606999999999971,3.6829999999999927,1,0
2026-02-19 20:00:00+00:00,4987.861,5003.413,4987.861,5001.59,5892,4994.467545083798,,,,,,,52.93003872273388,64.84018264840195,45.94678392243079,,,,,20.23527259475224,10400,13.72900000000027,1.8229999999994106,0.0,1,0
2026-02-19 21:00:00+00:00,5001.677,5004.209,4992.183,4996.391,4145,4994.852236067039,,,,,,,49.85145732729597,56.04769152714284,54.15694233045793,,,,,19.648895980841353,6255,5.286000000000058,2.532000000000153,4.207999999999629,0,0
2026-02-19 23:00:00+00:00,4997.078,5007.947,4985.635,4987.79,5603,4993.439788853631,,,,,,,45.170671314136165,41.50177574835095,54.12988330796525,,,,,19.83911769649554,652,9.288000000000466,10.868999999999687,2.1549999999997453,0,0
2026-02-20 00:00:00+00:00,4987.837,5006.956,4985.349,5006.322,6179,4996.0162310829055,,,,,,,54.979353871511854,72.84288855065117,56.797451942048326,,,,,19.965395003888712,6831,18.484999999999673,0.6340000000000146,2.4880000000002838,1,0
2026-02-20 01:00:00+00:00,5006.343,5014.708,4994.951,4997.126,8085,4996.238184866324,,,,,,,50.18194639545992,57.29071537290739,57.21179322396984,5019.497030345773,4997.853349999999,4976.209669654226,0.8661190647290061,19.95050964646806,18446744073709550362,9.216999999999643,8.364999999999782,2.175000000000182,0,0
2026-02-20 02:00:00+00:00,4997.098,5007.429,4992.515,4996.336,6571,4996.25774789306,4996.542755229351,,,,,,49.78008579503161,55.95467613732484,62.02942668696114,5019.467488931166,4997.81605,4976.164611068834,0.8664360078305008,19.59075895743461,18446744073709543791,0.7619999999997162,10.331000000000131,3.8209999999999127,0,0
2026-02-20 03:00:00+00:00,4996.308,4999.045,4981.638,4988.106,6223,4994.627398314447,4995.775777481228,,,,,,45.676372944946856,42.036191442583664,51.760527650938634,5016.171600344008,4996.30645,4976.441299655992,0.7951934310998005,19.43477617476072,18446744073709537568,8.202000000000226,2.73700000000008,6.467999999999847,0,0
2026-02-20 04:00:00+00:00,4988.202,5003.466,4986.722,4999.794,4302,4995.660718651558,4996.141070437479,,,,,,51.75864537765121,61.80280737358329,53.2645583178306,5014.653470465745,4995.7771,4976.900729534255,0.7556930618759957,19.24257787656357,18446744073709541870,11.591999999999643,3.67200000000048,1.480000000000473,1,0
2026-02-20 05:00:00+00:00,4999.954,5011.879,4997.841,5011.874,5325,4998.903374921247,4997.571336761344,,,,,,57.10431519047843,77.78811391361272,60.54237090992657,5013.355147579145,4995.5221,4977.689052420856,0.7139613126381515,18.870822313951855,18446744073709547195,11.920000000000073,0.005000000000109139,2.1129999999993743,1,1
2026-02-20 06:00:00+00:00,5012.005,5030.213,5011.811,5020.776,7097,5003.2778999369975,4999.6808516012225,,,,,,60.5716558578401,82.8828992236814,74.15794017029248,5017.729458397303,4996.7693,4975.809141602697,0.83894841402034,18.837335005812438,2676,8.77099999999973,9.436999999999898,0.19400000000041473,1,1
2026-02-20 07:00:00+00:00,5020.66,5028.289,5006.023,5006.545,7250,5003.931319949598,5000.30486509202,,,2.6569157151370746,,,53.172196024532376,57.0703039976786,72.58043904499091,5018.744077933999,4997.426,4976.107922066002,0.8531623253250057,19.082239648254383,18446744073709547042,14.114999999999782,7.628999999999905,0.5219999999999345,0,1
2026-02-20 08:00:00+00:00,5006.624,5030.941,5005.115,5028.821,7120,5008.909255959679,5002.8972409927455,,,4.565988112916784,,,61.168681944092455,96.20479770855728,78.71933364330576,5024.122499187207,4999.631350000001,4975.140200812794,0.9797182021112915,19.563936816236215,2546,22.197000000000116,2.119999999999891,1.5090000000000146,1,1
2026-02-20 09:00:00+00:00,5028.758,5042.685,5027.446,5027.446,7352,5012.616604767743,5005.128946357041,,,5.899979443223856,,,60.4821311980594,76.36118263890981,76.54542811504857,5028.0688150589485,5001.7685,4975.468184941052,1.051640637064606,19.25501275793366,18446744073709546810,1.3119999999998981,13.92700000000059,0.0,0,1
2026-02-20 10:00:00+00:00,5027.745,5038.416,5019.358,5034.48,6917,5016.989283814195,5007.797223960946,,,7.439009922030891,,,62.78338610221844,86.55953609513854,86.37517214753522,5033.426199060913,5003.635249999999,4973.844300939086,1.1907722115001727,19.24094041808126,2111,6.734999999999673,3.936000000000604,8.386999999999716,1,1
